item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
Michael Syfers  | FBI Sniper,9.4,267.0,35.57,911471,5999,1176849.0,43575.0,3.32,7.28
StatTrak™ Glock-18 | Umbral Rabbit (Battle-Scarred),0.8,-86.0,34.46,39549,1610,39656.0,1179.0,0.92,0.73
Tec-9 | Remote Control (Well-Worn),1.3,-95.0,34.38,47632,1177,63533.0,1435.0,1.41,1.32
Sticker | GamerLegion (Holo) | Copenhagen 2024,1.9,-42.0,34.03,26427,1364,63934.0,2368.0,1.9,1.67
PP-Bizon | Osiris (Minimal Wear),0.9,-27.0,33.91,1549496,1346,530649.0,1094.0,0.49,0.81
Sticker | Heroic (Holo) | Copenhagen 2024,0.8,-75.0,33.6,25105,1386,20266.0,1049.0,0.76,0.73
Sticker | m0NESY (Glitter) | Copenhagen 2024,0.7,-24.0,33.4,33310,2176,16472.0,1296.0,0.56,0.59
Sticker | Killjoy,0.9,488.0,32.94,250213,1372,206266.0,1106.0,0.85,0.81
XM1014 | Zombie Offensive (Minimal Wear),0.6,-83.0,32.86,349581,8232,182685.0,4627.0,0.54,0.56
MP7 | Anodized Navy (Minimal Wear),0.5,-83.0,32.75,116723,1455,46974.0,757.0,0.46,0.51
MP7 | Abyssal Apparition (Well-Worn),1.1,-91.0,32.6,142494,3355,198364.0,3758.0,1.36,1.1
FAMAS | Rapid Eye Movement (Battle-Scarred),1.1,-89.0,32.55,123970,3040,153540.0,3374.0,1.24,1.1
FAMAS | Rapid Eye Movement (Well-Worn),1.1,-91.0,32.48,153867,4272,212111.0,4859.0,1.37,1.12
AUG | Stymphalian (Field-Tested),1.5,-78.0,32.41,576834,2377,851351.0,3352.0,1.5,1.38
StatTrak™ Nova | Dark Sigil (Factory New),0.9,-79.0,31.78,10867,1015,10916.0,758.0,0.82,0.74
SG 553 | Tiger Moth (Field-Tested),0.8,-69.0,31.75,416012,1295,295007.0,832.0,0.76,0.64
Sticker | FaZe Clan (Gold) | Paris 2023,1.6,-93.0,31.6,58377,1165,258935.0,1680.0,2.81,1.44
StatTrak™ AWP | Worm God (Field-Tested),3.9,-89.0,30.55,546526,1779,2205501.0,6340.0,3.78,3.58
Sir Bloody Silent Darryl | The Professionals,43.2,903.0,30.24,257403,2777,1758920.0,119187.0,19.91,42.79
MAG-7 | SWAG-7 (Minimal Wear),0.6,-89.0,29.61,396612,1595,214909.0,987.0,0.58,0.62
Sticker | Imperial Esports (Holo) | Copenhagen 2024,1.0,-72.0,29.47,40868,2354,56751.0,2321.0,1.08,0.97
Sticker | KOI (Holo) | Copenhagen 2024,6.7,-30.0,29.45,46495,2247,417906.0,13323.0,6.91,6.22
Bloody Darryl The Strapped | The Professionals,43.5,831.0,29.36,198390,2473,1627648.0,104778.0,23.01,42.28
MP7 | Fade (Field-Tested),3.9,-47.0,29.04,54948,1364,252069.0,4777.0,4.77,3.54
StatTrak™ Desert Eagle | Bronze Deco (Factory New),1.6,-85.0,28.92,676189,1470,1008095.0,2481.0,1.84,1.71
AUG | Random Access (Minimal Wear),1.8,-62.0,28.77,66412,1760,114169.0,3136.0,1.76,1.73
P90 | Asiimov (Battle-Scarred),6.4,-52.0,28.12,324850,1056,1073339.0,5482.0,3.82,5.16
Sir Bloody Skullhead Darryl | The Professionals,52.0,887.0,28.04,196790,2218,1666576.0,113818.0,23.82,51.45
XM1014 | Watchdog (Field-Tested),1.2,1296.0,28.04,227334,1159,33936.0,1078.0,0.54,0.92
Sticker | Fluxo (Gold) | Paris 2023,1.1,-89.0,27.88,57875,1075,176661.0,1077.0,1.77,1.0
Glock-18 | Umbral Rabbit (Factory New),1.7,-90.0,27.78,83623,3253,213687.0,4873.0,1.98,1.51
Sticker | Cloud9 (Holo) | Copenhagen 2024,5.4,-48.0,27.72,28283,1203,196685.0,5514.0,5.47,4.74
P250 | Nevermore (Factory New),1.8,-65.0,27.61,503102,2283,471898.0,3384.0,1.08,1.48
Dual Berettas | Twin Turbo (Battle-Scarred),1.1,-90.0,27.5,46774,1203,84547.0,1085.0,1.83,0.88
StatTrak™ Galil AR | Destroyer (Factory New),0.8,-87.0,27.39,57478,1354,46804.0,894.0,0.77,0.66
Glock-18 | Block-18 (Well-Worn),1.1,-72.0,26.78,14505,1528,17108.0,1448.0,1.03,0.94
Blackwolf | Sabre,6.6,47.0,26.74,928301,6288,1754972.0,35553.0,3.11,5.74
Rezan The Ready | Sabre,6.5,111.0,26.71,951212,6034,1595914.0,36612.0,3.07,6.13
P250 | Vino Primo (Well-Worn),0.9,-83.0,25.98,55064,1751,116984.0,1472.0,2.33,0.84
StatTrak™ Dual Berettas | Flora Carnivora (Well-Worn),0.9,-87.0,25.84,39106,1129,39990.0,862.0,0.96,0.75
Sticker | SAW (Holo) | Copenhagen 2024,1.3,-61.0,25.57,27179,1441,44170.0,1728.0,1.38,1.21
