ITEM,MAIN_NAME
AK-47 | Emerald Pinstripe (Battle-Scarred),Emerald Pinstripe
P250 | Forest Night (Field-Tested),Forest Night
Glock-18 | Block-18 (Minimal Wear),Block-18
AWP | Neo-Noir (Field-Tested),Neo-Noir
M4A1-S | Night Terror (Well-Worn),Night Terror
AWP | Phobos (Field-Tested),Phobos
Zeus x27 | Olympus (Field-Tested),Olympus
XM1014 | Entombed (Field-Tested),Entombed
M4A4 | Etch Lord (Battle-Scarred),Etch Lord
Galil AR | Tuxedo (Minimal Wear),Tuxedo
AK-47 | Phantom Disruptor (Minimal Wear),Phantom Disruptor
Name Tag,Name Tag
Glock-18 | Umbral Rabbit (Minimal Wear),Umbral Rabbit
M4A4 | Etch Lord (Minimal Wear),Etch Lord
AWP | Atheris (Well-Worn),Atheris
AK-47 | Ice Coaled (Battle-Scarred),Ice Coaled
Five-SeveN | Hybrid (Field-Tested),Hybrid
Five-SeveN | Hybrid (Minimal Wear),Hybrid
Galil AR | Chromatic Aberration (Well-Worn),Chromatic Aberration
Five-SeveN | Hybrid (Well-Worn),Hybrid
AWP | Mortis (Minimal Wear),Mortis
Sawed-Off | Analog Input (Factory New),Analog Input
MP7 | Just Smile (Well-Worn),Just Smile
Five-SeveN | Silver Quartz (Factory New),Silver Quartz
AWP | Duality (Minimal Wear),Duality
Desert Eagle | Urban Rubble (Factory New),Urban Rubble
StatTrak™ MP5-SD | Kitbash (Field-Tested),Kitbash
USP-S | Ticket to Hell (Factory New),Ticket to Hell
M4A4 | Magnesium (Minimal Wear),Magnesium
Sawed-Off | Analog Input (Field-Tested),Analog Input
"Music Kit | Sullivan King, Lock Me Up","Sullivan King, Lock Me Up"
M4A1-S | Night Terror (Battle-Scarred),Night Terror
M249 | Downtown (Minimal Wear),Downtown
Espionage Sticker Capsule,Espionage Sticker Capsule
FAMAS | Teardown (Factory New),Teardown
M4A4 | Tooth Fairy (Field-Tested),Tooth Fairy
P2000 | Wicked Sick (Field-Tested),Wicked Sick
Dreams & Nightmares Case,Dreams & Nightmares Case
MP7 | Bloodsport (Minimal Wear),Bloodsport
Sawed-Off | Analog Input (Minimal Wear),Analog Input
USP-S | Jawbreaker (Field-Tested),Jawbreaker
MP7 | Just Smile (Minimal Wear),Just Smile
Dragomir | Sabre,Sabre
AK-47 | Emerald Pinstripe (Well-Worn),Emerald Pinstripe
Copenhagen 2024 Overpass Souvenir Package,Copenhagen 2024 Overpass Souvenir Package
AWP | Atheris (Minimal Wear),Atheris
AK-47 | Head Shot (Well-Worn),Head Shot
AK-47 | Elite Build (Well-Worn),Elite Build
M4A4 | Etch Lord (Field-Tested),Etch Lord
"Music Kit | bbno$, u mad!","bbno$, u mad!"
AWP | Pit Viper (Minimal Wear),Pit Viper
M4A4 | Spider Lily (Field-Tested),Spider Lily
AWP | Atheris (Battle-Scarred),Atheris
XM1014 | Charter (Field-Tested),Charter
Galil AR | Chromatic Aberration (Field-Tested),Chromatic Aberration
Operation Breakout Weapon Case,Operation Breakout Weapon Case
AWP | Phobos (Minimal Wear),Phobos
AWP | Black Nile (Minimal Wear),Black Nile
USP-S | Jawbreaker (Minimal Wear),Jawbreaker
Berlin 2019 Legends (Holo-Foil),Berlin 2019 Legends
Sticker | Natus Vincere (Holo) | Paris 2023,Natus Vincere
Sawed-Off | Brake Light (Factory New),Brake Light
AWP | PAW (Minimal Wear),PAW
StatTrak™ AWP | Capillary (Field-Tested),Capillary
M4A4 | The Emperor (Field-Tested),The Emperor
Prof. Shahmat | Elite Crew,Elite Crew
M4A1-S | Black Lotus (Minimal Wear),Black Lotus
Sawed-Off | Full Stop (Factory New),Full Stop
AK-47 | Asiimov (Field-Tested),Asiimov
Zeus x27 | Olympus (Minimal Wear),Olympus
M4A4 | Neo-Noir (Field-Tested),Neo-Noir
Sticker | Drug War Veteran,Drug War Veteran
USP-S | The Traitor (Field-Tested),The Traitor
Rio 2022 Dust II Souvenir Package,Rio 2022 Dust II Souvenir Package
R8 Revolver | Crazy 8 (Minimal Wear),Crazy 8
AK-47 | Slate (Battle-Scarred),Slate
AWP | Black Nile (Field-Tested),Black Nile
AK-47 | Nightwish (Well-Worn),Nightwish
AWP | Acheron (Minimal Wear),Acheron
AK-47 | Slate (Well-Worn),Slate
'Two Times' McCoy | TACP Cavalry,TACP Cavalry
Glock-18 | Water Elemental (Field-Tested),Water Elemental
"Music Kit | The Verkkars & n0thing, Flashbang Dance","The Verkkars & n0thing, Flashbang Dance"
Glove Case,Glove Case
MP7 | Bloodsport (Field-Tested),Bloodsport
Five-SeveN | Hybrid (Battle-Scarred),Hybrid
M4A4 | Etch Lord (Well-Worn),Etch Lord
M4A1-S | Black Lotus (Field-Tested),Black Lotus
AWP | Duality (Field-Tested),Duality
AK-47 | Nightwish (Field-Tested),Nightwish
XM1014 | Entombed (Minimal Wear),Entombed
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),Emphorosaur-S
StatTrak™ Galil AR | Connexion (Field-Tested),Connexion
AK-47 | Phantom Disruptor (Field-Tested),Phantom Disruptor
Sawed-Off | Kiss♥Love (Field-Tested),Kiss♥Love
M4A1-S | Emphorosaur-S (Minimal Wear),Emphorosaur-S
MAC-10 | Disco Tech (Field-Tested),Disco Tech
P250 | Visions (Field-Tested),Visions
SG 553 | Dragon Tech (Minimal Wear),Dragon Tech
SSG 08 | Acid Fade (Factory New),Acid Fade
PP-Bizon | Brass (Field-Tested),Brass
Glock-18 | Block-18 (Field-Tested),Block-18
MP9 | Starlight Protector (Field-Tested),Starlight Protector
Maximus | Sabre,Sabre
MP7 | Just Smile (Battle-Scarred),Just Smile
MP9 | Army Sheen (Minimal Wear),Army Sheen
USP-S | Cyrex (Minimal Wear),Cyrex
Sticker | Cedar Creek (Holo),Cedar Creek
M4A1-S | Leaded Glass (Minimal Wear),Leaded Glass
Seal Team 6 Soldier | NSWC SEAL,NSWC SEAL
Gamma Case,Gamma Case
P2000 | Amber Fade (Field-Tested),Amber Fade
AK-47 | Frontside Misty (Field-Tested),Frontside Misty
AK-47 | Steel Delta (Minimal Wear),Steel Delta
Sticker Capsule,Sticker Capsule
'Two Times' McCoy | USAF TACP,USAF TACP
Sticker | Fnatic (Holo) | Paris 2023,Fnatic
SG 553 | Damascus Steel (Field-Tested),Damascus Steel
M4A4 | Evil Daimyo (Minimal Wear),Evil Daimyo
Sticker | Team Liquid (Holo) | Paris 2023,Team Liquid
M4A4 | Temukau (Field-Tested),Temukau
Safecracker Voltzmann | The Professionals,The Professionals
Revolver Case,Revolver Case
USP-S | Ticket to Hell (Minimal Wear),Ticket to Hell
AK-47 | Safety Net (Field-Tested),Safety Net
Operation Broken Fang Case,Operation Broken Fang Case
Desert Eagle | Printstream (Field-Tested),Printstream
AK-47 | Legion of Anubis (Field-Tested),Legion of Anubis
P250 | Asiimov (Field-Tested),Asiimov
Gamma 2 Case,Gamma 2 Case
Paris 2023 Anubis Souvenir Package,Paris 2023 Anubis Souvenir Package
Paris 2023 Vertigo Souvenir Package,Paris 2023 Vertigo Souvenir Package
AWP | Worm God (Minimal Wear),Worm God
AK-47 | Uncharted (Minimal Wear),Uncharted
StatTrak™ M4A1-S | Night Terror (Field-Tested),Night Terror
CS:GO Weapon Case,CS:GO Weapon Case
USP-S | Lead Conduit (Well-Worn),Lead Conduit
M4A4 | Desolate Space (Field-Tested),Desolate Space
USP-S | Cortex (Well-Worn),Cortex
AK-47 | Neon Revolution (Field-Tested),Neon Revolution
Ground Rebel  | Elite Crew,Elite Crew
Spectrum Case,Spectrum Case
Paris 2023 Mirage Souvenir Package,Paris 2023 Mirage Souvenir Package
M4A4 | Evil Daimyo (Field-Tested),Evil Daimyo
"Music Kit | ISOxo, inhuman","ISOxo, inhuman"
Operator | FBI SWAT,FBI SWAT
MAC-10 | Sakkaku (Field-Tested),Sakkaku
AWP | Mortis (Field-Tested),Mortis
M4A1-S | VariCamo (Factory New),VariCamo
"Music Kit | Meechy Darko, Gothic Luxury","Meechy Darko, Gothic Luxury"
AWP | Atheris (Field-Tested),Atheris
AWP | Worm God (Field-Tested),Worm God
USP-S | Cortex (Battle-Scarred),Cortex
Winter Offensive Weapon Case,Winter Offensive Weapon Case
AK-47 | Legion of Anubis (Minimal Wear),Legion of Anubis
AK-47 | Legion of Anubis (Battle-Scarred),Legion of Anubis
USP-S | Ticket to Hell (Well-Worn),Ticket to Hell
10 Year Birthday Sticker Capsule,10 Year Birthday Sticker Capsule
AK-47 | Rat Rod (Field-Tested),Rat Rod
Desert Eagle | Meteorite (Field-Tested),Meteorite
AK-47 | Slate (Field-Tested),Slate
USP-S | Lead Conduit (Field-Tested),Lead Conduit
StatTrak™ USP-S | Ticket to Hell (Field-Tested),Ticket to Hell
USP-S | Torque (Field-Tested),Torque
AK-47 | Elite Build (Battle-Scarred),Elite Build
Chroma 2 Case,Chroma 2 Case
AK-47 | Elite Build (Field-Tested),Elite Build
USP-S | Cortex (Field-Tested),Cortex
"Music Kit | The Verkkars, EZ4ENCE","The Verkkars, EZ4ENCE"
StatTrak™ Desert Eagle | Blue Ply (Field-Tested),Blue Ply
M4A4 | In Living Color (Field-Tested),In Living Color
USP-S | Printstream (Field-Tested),Printstream
Anubis Collection Package,Anubis Collection Package
Operation Wildfire Case,Operation Wildfire Case
Spectrum 2 Case,Spectrum 2 Case
AK-47 | Elite Build (Minimal Wear),Elite Build
Desert Eagle | Oxide Blaze (Factory New),Oxide Blaze
Desert Eagle | Mecha Industries (Minimal Wear),Mecha Industries
Operation Hydra Case,Operation Hydra Case
StatTrak™ M4A4 | Magnesium (Field-Tested),Magnesium
"Music Kit | Knock2, Make U SWEAT!","Knock2, Make U SWEAT!"
AK-47 | Ice Coaled (Minimal Wear),Ice Coaled
M4A1-S | Nightmare (Field-Tested),Nightmare
Buckshot | NSWC SEAL,NSWC SEAL
Prisma Case,Prisma Case
