item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
AK-47 | Elite Build (Well-Worn),1.0,-81.0,5.45,5112188,15485,3503668.0,16031.0,0.88,1.04
AK-47 | Emerald Pinstripe (Battle-Scarred),2.3,-89.0,8.1,677103,4498,1191555.0,11085.0,2.24,2.39
AK-47 | Emerald Pinstripe (Factory New),7.0,-94.0,-19.54,240282,1893,1177737.0,17324.0,7.27,8.71
AK-47 | Emerald Pinstripe (Field-Tested),2.4,-90.0,-5.06,1647241,9452,2850488.0,27654.0,2.62,2.81
AK-47 | Emerald Pinstripe (Minimal Wear),3.9,-86.0,-4.95,905113,4886,2276698.0,21819.0,3.89,4.39
AK-47 | Emerald Pinstripe (Well-Worn),2.2,-90.0,5.52,934834,5189,1610536.0,13615.0,2.32,2.46
AK-47 | Fire Serpent (Battle-Scarred),529.4,1338.0,7.64,16476,10,1405969.0,5081.0,159.72,508.06
AK-47 | Fire Serpent (Factory New),509.7,728.0,0.0,427,1,195280.0,510.0,477.51,509.71
AK-47 | Fire Serpent (Field-Tested),792.7,890.0,3.12,54417,15,6664344.0,11916.0,298.41,794.43
AK-47 | Fire Serpent (Minimal Wear),1142.9,2344.0,-0.69,18397,3,3301576.0,3440.0,347.39,1146.52
AK-47 | Fire Serpent (Well-Worn),615.8,1317.0,0.0,3114,1,359258.0,616.0,153.97,615.81
AK-47 | First Class (Battle-Scarred),63.8,1087.0,0.58,14705,13,97928.0,853.0,15.47,66.24
AK-47 | First Class (Factory New),154.0,746.0,5.23,9563,5,189844.0,816.0,34.03,163.19
AK-47 | First Class (Field-Tested),69.3,1114.0,-5.62,46374,12,267332.0,869.0,19.03,72.41
AK-47 | First Class (Minimal Wear),91.7,807.0,1.82,23280,5,192563.0,519.0,22.56,103.88
AK-47 | First Class (Well-Worn),69.3,1194.0,8.06,22616,13,141618.0,900.0,16.43,69.26
AK-47 | Frontside Misty (Battle-Scarred),8.9,-58.0,10.71,333875,1540,2284770.0,12664.0,7.82,8.22
AK-47 | Frontside Misty (Factory New),82.4,-31.0,5.02,47623,122,1414574.0,9389.0,36.03,76.74
AK-47 | Frontside Misty (Field-Tested),11.9,-77.0,0.09,1443564,4623,13978610.0,55074.0,10.87,12.07
AK-47 | Frontside Misty (Minimal Wear),26.2,-64.0,-2.82,435909,1095,6274995.0,29976.0,18.14,27.48
AK-47 | Frontside Misty (Well-Worn),11.4,-68.0,1.17,266163,1039,2489583.0,11243.0,10.21,10.85
AK-47 | Fuel Injector (Battle-Scarred),115.8,413.0,3.8,58229,82,1663837.0,9157.0,40.03,111.55
AK-47 | Fuel Injector (Factory New),392.6,441.0,0.4,8119,11,991016.0,4559.0,158.28,414.41
AK-47 | Fuel Injector (Field-Tested),159.3,380.0,1.48,100461,146,3969959.0,23917.0,66.66,163.62
AK-47 | Fuel Injector (Minimal Wear),210.0,382.0,-0.03,46588,66,2593485.0,14323.0,93.46,217.08
AK-47 | Fuel Injector (Well-Worn),138.9,411.0,19.86,71834,105,2246524.0,12551.0,48.68,119.63
AK-47 | Gold Arabesque (Battle-Scarred),1539.4,98.0,-0.01,215,3,171931.0,4280.0,834.72,1426.67
AK-47 | Gold Arabesque (Factory New),0.0,-100.0,-99.81,77,2,99676.0,15.0,1292.52,7.71
AK-47 | Gold Arabesque (Field-Tested),1514.2,40.0,15.72,570,2,606431.0,2823.0,1080.39,1411.41
AK-47 | Gold Arabesque (Minimal Wear),1340.3,2.0,1.21,221,2,290547.0,2665.0,1304.82,1332.33
AK-47 | Gold Arabesque (Well-Worn),1539.5,135.0,0.0,36,1,30779.0,1540.0,876.34,1539.52
AK-47 | Green Laminate (Factory New),19.2,25.0,-7.23,23937,209,263709.0,4315.0,14.07,20.55
AK-47 | Green Laminate (Field-Tested),13.7,67.0,0.02,37541,321,285576.0,4354.0,9.71,13.63
AK-47 | Green Laminate (Minimal Wear),14.4,52.0,-1.62,31330,255,254953.0,3744.0,10.37,14.8
AK-47 | Green Laminate (Well-Worn),19.0,106.0,-4.95,1234,7,14812.0,157.0,12.9,22.39
AK-47 | Head Shot (Battle-Scarred),4.5,-93.0,-6.41,75098,3771,694422.0,17096.0,8.18,4.55
AK-47 | Head Shot (Factory New),64.2,-86.0,3.87,5719,306,706196.0,19886.0,113.09,64.93
AK-47 | Head Shot (Field-Tested),8.0,-95.0,-9.89,91621,6309,2105589.0,54103.0,18.85,8.67
AK-47 | Head Shot (Minimal Wear),18.2,-93.0,-0.42,35302,2259,1749929.0,41447.0,38.02,18.52
AK-47 | Head Shot (Well-Worn),6.2,-93.0,5.47,75767,4806,1032095.0,27958.0,11.38,5.88
AK-47 | Hydroponic (Battle-Scarred),429.7,1937.0,-14.14,5907,2,165602.0,930.0,53.21,465.04
AK-47 | Hydroponic (Factory New),1385.6,362.0,12.26,6328,2,1025308.0,2620.0,250.88,1309.89
AK-47 | Hydroponic (Field-Tested),923.5,2272.0,-8.82,25943,4,1415162.0,3598.0,163.32,899.48
AK-47 | Hydroponic (Minimal Wear),1383.2,2319.0,2.98,11702,3,1198059.0,4093.0,200.0,1364.21
AK-47 | Hydroponic (Well-Worn),749.9,2694.0,0.0,1652,1,79784.0,750.0,59.13,749.92
AK-47 | Ice Coaled (Battle-Scarred),4.0,-90.0,7.36,190289,5429,1120791.0,20784.0,5.36,3.83
AK-47 | Ice Coaled (Factory New),14.9,-93.0,-0.31,61257,2477,1710291.0,37646.0,24.98,15.26
AK-47 | Ice Coaled (Field-Tested),4.9,-91.0,-5.22,556724,18695,4908260.0,93908.0,7.89,5.02
AK-47 | Ice Coaled (Minimal Wear),8.6,-91.0,-4.55,194680,7206,3080617.0,63019.0,14.05,8.8
AK-47 | Ice Coaled (Well-Worn),5.3,-85.0,11.36,64090,2172,525849.0,11309.0,7.97,5.22
AK-47 | Inheritance (Battle-Scarred),68.3,-43.0,26.34,8106,771,458736.0,43706.0,57.37,56.94
AK-47 | Inheritance (Factory New),177.0,-71.0,-1.61,2523,184,561658.0,32111.0,202.44,174.33
AK-47 | Inheritance (Field-Tested),85.7,-62.0,12.97,26181,2435,2053715.0,186346.0,77.01,76.58
AK-47 | Inheritance (Minimal Wear),107.4,-67.0,6.64,10263,886,1269403.0,90984.0,109.57,102.72
AK-47 | Inheritance (Well-Worn),76.6,-43.0,11.9,1663,174,115922.0,12224.0,70.69,70.35
AK-47 | Jaguar (Battle-Scarred),40.3,20.0,0.0,105482,89,982253.0,3447.0,13.47,38.71
AK-47 | Jaguar (Factory New),207.4,54.0,32.79,10928,10,461384.0,1770.0,54.04,177.01
AK-47 | Jaguar (Field-Tested),55.6,16.0,2.05,349557,178,3997364.0,10170.0,18.3,57.11
AK-47 | Jaguar (Minimal Wear),109.4,14.0,17.41,148494,98,2389901.0,8954.0,25.79,91.48
AK-47 | Jaguar (Well-Worn),40.0,-14.0,0.33,146332,121,1572026.0,4844.0,14.99,40.1
AK-47 | Jet Set (Battle-Scarred),204.3,1165.0,-1.69,8231,2,155905.0,412.0,35.16,206.08
AK-47 | Jet Set (Factory New),554.2,465.0,-26.34,629,2,75074.0,1307.0,131.27,653.33
AK-47 | Jet Set (Field-Tested),260.0,1008.0,0.81,17167,6,394363.0,1702.0,53.22,283.73
AK-47 | Jet Set (Minimal Wear),348.6,1432.0,-31.24,9097,2,291940.0,856.0,62.22,427.81
AK-47 | Jet Set (Well-Worn),265.4,1304.0,0.0,12069,1,231545.0,265.0,39.39,265.41
AK-47 | Jungle Spray (Battle-Scarred),4.6,25.0,-1.0,128443,117,117166.0,604.0,2.26,5.2
AK-47 | Jungle Spray (Minimal Wear),10.1,125.0,-28.01,184322,131,289020.0,1612.0,5.35,12.29
AK-47 | Jungle Spray (Well-Worn),4.7,-10.0,-28.44,101290,84,107976.0,583.0,2.61,6.08
AK-47 | Leet Museo (Battle-Scarred),14.7,-17.0,-1.14,35047,435,485683.0,6524.0,14.2,15.06
AK-47 | Leet Museo (Factory New),82.6,4.0,0.12,14839,80,617848.0,6444.0,48.61,80.5
AK-47 | Leet Museo (Field-Tested),16.7,-25.0,-2.63,107415,1151,1666832.0,19911.0,16.17,17.48
AK-47 | Leet Museo (Minimal Wear),36.7,4.0,-6.59,38379,316,913794.0,12212.0,27.32,38.52
AK-47 | Leet Museo (Well-Worn),18.5,-6.0,15.54,13294,147,206080.0,2444.0,15.84,16.67
AK-47 | Legion of Anubis (Battle-Scarred),4.7,-95.0,-2.57,164118,3321,1135562.0,15587.0,7.34,4.65
AK-47 | Legion of Anubis (Factory New),13.7,-97.0,-10.6,98703,2197,2340406.0,32206.0,24.72,14.68
AK-47 | Legion of Anubis (Field-Tested),5.5,-96.0,-1.01,596542,11730,5909252.0,63019.0,10.4,5.41
AK-47 | Legion of Anubis (Minimal Wear),7.9,-96.0,-2.52,298735,6163,4147735.0,49270.0,14.91,8.03
AK-47 | Legion of Anubis (Well-Worn),5.8,-93.0,-0.76,55316,1070,547506.0,6264.0,10.79,5.87
AK-47 | Neon Revolution (Battle-Scarred),13.9,-76.0,10.06,153242,1275,2035072.0,16957.0,13.96,13.51
AK-47 | Neon Revolution (Factory New),85.4,-62.0,-0.46,34034,108,1505131.0,9148.0,46.55,84.33
AK-47 | Neon Revolution (Field-Tested),15.1,-81.0,-1.65,619540,3982,9713559.0,61035.0,16.24,15.48
AK-47 | Neon Revolution (Minimal Wear),35.0,-72.0,-5.9,165975,718,3945820.0,27089.0,26.2,37.53
AK-47 | Neon Revolution (Well-Worn),20.4,-65.0,-2.33,42065,329,771915.0,6239.0,19.37,18.96
AK-47 | Neon Rider (Battle-Scarred),22.4,-56.0,10.23,78265,711,1415310.0,14899.0,18.6,21.13
AK-47 | Neon Rider (Factory New),138.6,-41.0,3.28,17590,98,1549003.0,13438.0,92.52,137.15
AK-47 | Neon Rider (Field-Tested),45.1,-49.0,-7.44,224010,1290,6482431.0,59201.0,32.9,45.93
AK-47 | Neon Rider (Minimal Wear),86.4,-39.0,-5.45,73837,343,3499038.0,29036.0,52.45,84.78
AK-47 | Neon Rider (Well-Worn),38.1,-39.0,2.57,17673,141,515954.0,5577.0,30.18,39.68
AK-47 | Nightwish (Battle-Scarred),4.8,-92.0,12.67,173353,4670,1209607.0,20837.0,6.88,4.46
AK-47 | Nightwish (Factory New),61.7,-87.0,5.6,9058,311,940669.0,19723.0,103.66,63.2
AK-47 | Nightwish (Field-Tested),8.2,-94.0,1.68,208655,8719,3414798.0,70608.0,16.62,8.18
AK-47 | Nightwish (Minimal Wear),16.1,-94.0,-7.08,69870,3107,2527051.0,52363.0,34.14,17.01
AK-47 | Nightwish (Well-Worn),6.7,-93.0,2.93,163933,6045,1891867.0,38527.0,11.59,6.42
AK-47 | Orbit Mk01 (Battle-Scarred),11.5,57.0,-5.66,37742,162,255394.0,1978.0,7.86,12.21
AK-47 | Orbit Mk01 (Factory New),24.2,46.0,-2.65,142190,362,1383838.0,9154.0,13.33,25.26
AK-47 | Orbit Mk01 (Field-Tested),12.6,41.0,0.59,436742,1198,2818801.0,15036.0,8.25,12.66
AK-47 | Orbit Mk01 (Minimal Wear),17.1,48.0,44.37,307512,832,2236385.0,13271.0,9.69,15.98
AK-47 | Orbit Mk01 (Well-Worn),12.9,67.0,-12.1,30318,130,231400.0,1695.0,8.73,12.98
AK-47 | Panthera onca (Battle-Scarred),127.8,-27.0,2.93,1169,9,131053.0,1167.0,112.56,129.63
AK-47 | Panthera onca (Factory New),323.2,-4.0,4.44,1465,9,478341.0,2628.0,319.02,292.04
AK-47 | Panthera onca (Field-Tested),167.4,-31.0,2.27,2320,11,399848.0,1891.0,169.97,171.88
AK-47 | Panthera onca (Minimal Wear),230.9,-44.0,3.12,1434,5,356328.0,1167.0,243.83,233.36
AK-47 | Panthera onca (Well-Worn),135.0,-19.0,744.25,1573,8,199827.0,1007.0,128.03,125.84
AK-47 | Phantom Disruptor (Battle-Scarred),3.3,-85.0,-0.6,220381,2253,1046018.0,7219.0,4.49,3.2
AK-47 | Phantom Disruptor (Factory New),9.4,-89.0,0.99,148550,1190,1678378.0,11241.0,10.93,9.49
AK-47 | Phantom Disruptor (Field-Tested),3.7,-88.0,1.33,1209221,11952,6717755.0,43598.0,5.14,3.66
AK-47 | Phantom Disruptor (Minimal Wear),5.8,-89.0,7.48,419808,3823,3223073.0,21338.0,7.22,5.61
AK-47 | Phantom Disruptor (Well-Worn),4.7,-81.0,4.53,111947,1180,688312.0,5257.0,6.12,4.47
AK-47 | Point Disarray (Battle-Scarred),7.5,-55.0,8.15,152295,1377,1127574.0,10173.0,8.07,7.33
AK-47 | Point Disarray (Factory New),36.3,-38.0,-2.36,85963,396,1995076.0,15059.0,25.88,37.99
AK-47 | Point Disarray (Field-Tested),8.8,-68.0,8.26,726174,3872,7260155.0,32479.0,10.26,8.46
AK-47 | Point Disarray (Minimal Wear),16.3,-57.0,6.29,289566,1481,4202708.0,24198.0,15.68,16.4
AK-47 | Point Disarray (Well-Worn),9.8,-55.0,-1.92,56379,394,612399.0,3778.0,11.61,9.6
AK-47 | Predator (Battle-Scarred),16.5,295.0,-3.01,240802,43,181664.0,718.0,4.44,16.74
AK-47 | Predator (Factory New),75.4,915.0,59.33,15152,11,111815.0,733.0,14.66,66.6
AK-47 | Predator (Field-Tested),16.7,284.0,-0.65,1109540,154,684574.0,2729.0,5.09,17.84
AK-47 | Predator (Minimal Wear),20.2,257.0,-1.94,432854,92,510291.0,1863.0,6.01,20.11
AK-47 | Predator (Well-Worn),20.0,298.0,18.39,185573,20,167710.0,359.0,4.5,17.94
AK-47 | Rat Rod (Battle-Scarred),3.1,-60.0,10.21,231665,1265,659768.0,3676.0,2.86,2.91
AK-47 | Rat Rod (Factory New),10.5,39.0,8.19,57946,287,444121.0,2931.0,8.16,10.28
AK-47 | Rat Rod (Field-Tested),3.0,-23.0,-2.77,787697,3746,2375026.0,11457.0,3.01,3.07
AK-47 | Rat Rod (Minimal Wear),4.3,-14.0,-5.9,290767,1268,1228347.0,5873.0,4.31,4.64
AK-47 | Rat Rod (Well-Worn),3.0,-56.0,8.41,403880,2164,1166460.0,6289.0,2.88,2.91
AK-47 | Red Laminate (Battle-Scarred),37.3,286.0,-5.49,71799,45,418662.0,1881.0,13.82,42.12
AK-47 | Red Laminate (Factory New),267.5,1363.0,-1.14,1860,2,84636.0,538.0,64.37,269.03
AK-47 | Red Laminate (Field-Tested),42.0,281.0,4.18,531888,209,2861156.0,9614.0,15.47,46.49
AK-47 | Red Laminate (Minimal Wear),69.0,429.0,-5.43,139013,54,1192100.0,4501.0,22.06,85.07
AK-47 | Red Laminate (Well-Worn),47.8,285.0,-62.89,52954,38,342658.0,1791.0,13.67,47.3
AK-47 | Redline (Battle-Scarred),14.6,-23.0,6.38,493381,822,2191167.0,12019.0,6.83,14.64
AK-47 | Redline (Field-Tested),25.5,-20.0,11.32,5293299,5156,34537933.0,137356.0,12.43,26.38
AK-47 | Redline (Minimal Wear),118.3,28.0,-8.35,199215,143,4700065.0,16912.0,41.04,118.47
AK-47 | Redline (Well-Worn),20.1,-36.0,14.14,314021,578,2259834.0,10986.0,9.98,18.93
AK-47 | Safari Mesh (Battle-Scarred),0.1,-97.0,3.45,2236941,17129,325814.0,1018.0,0.15,0.06
AK-47 | Safari Mesh (Factory New),2.0,-87.0,11.96,104745,842,269472.0,1921.0,2.74,2.56
AK-47 | Safari Mesh (Field-Tested),0.1,-98.0,6.78,11903542,63841,1623651.0,3831.0,0.14,0.06
AK-47 | Safari Mesh (Minimal Wear),0.2,-98.0,-9.73,2999124,26400,1048721.0,4679.0,0.37,0.18
AK-47 | Safari Mesh (Well-Worn),0.1,-97.0,8.57,1973112,16677,376740.0,1187.0,0.19,0.07
AK-47 | Safety Net (Battle-Scarred),2.6,-88.0,14.32,63818,1516,251288.0,3726.0,4.36,2.45
AK-47 | Safety Net (Factory New),5.4,-86.0,-3.09,72879,1859,707247.0,10218.0,9.32,5.53
AK-47 | Safety Net (Field-Tested),2.5,-90.0,-0.88,281534,7104,1194453.0,17419.0,4.64,2.46
AK-47 | Safety Net (Minimal Wear),3.8,-89.0,-1.99,112466,2822,740742.0,10665.0,6.63,3.79
AK-47 | Safety Net (Well-Worn),3.0,-94.0,-1.06,34486,839,171452.0,2680.0,5.57,3.19
AK-47 | Slate (Battle-Scarred),2.5,-92.0,3.02,826355,10301,2088249.0,25111.0,2.67,2.45
AK-47 | Slate (Factory New),10.2,-87.0,0.71,165807,2307,1756810.0,23444.0,10.72,10.32
AK-47 | Slate (Field-Tested),2.9,-95.0,-2.87,2098367,24764,5865400.0,72335.0,3.03,2.94
AK-47 | Slate (Minimal Wear),4.9,-91.0,8.21,777806,9032,3550179.0,41961.0,4.8,4.69
AK-47 | Slate (Well-Worn),2.5,-92.0,2.85,1343681,16806,3377876.0,42040.0,2.7,2.52
AK-47 | Steel Delta (Battle-Scarred),1.5,-41.0,-0.33,77257,2317,127275.0,3426.0,1.49,1.49
AK-47 | Steel Delta (Factory New),2.4,-77.0,1.0,65270,2804,260110.0,6763.0,2.82,2.43
AK-47 | Steel Delta (Field-Tested),1.2,-55.0,-4.8,281208,9776,442289.0,11889.0,1.3,1.22
AK-47 | Steel Delta (Minimal Wear),1.7,-62.0,0.0,123067,4509,295679.0,7635.0,1.85,1.7
AK-47 | Steel Delta (Well-Worn),1.5,-53.0,-9.55,35951,1131,67180.0,1846.0,1.68,1.64
AK-47 | The Empress (Battle-Scarred),23.4,-70.0,10.38,171664,1586,3555061.0,34815.0,22.91,22.14
AK-47 | The Empress (Factory New),140.0,-49.0,-24.79,21880,80,1964087.0,11648.0,97.79,145.56
AK-47 | The Empress (Field-Tested),32.0,-72.0,-2.47,318370,2349,8742990.0,78365.0,30.82,33.54
AK-47 | The Empress (Minimal Wear),62.1,-65.0,-3.28,117677,645,4947857.0,40247.0,47.49,62.27
AK-47 | The Empress (Well-Worn),28.1,-65.0,12.86,206210,1509,4731606.0,38113.0,25.46,25.51
AK-47 | Uncharted (Battle-Scarred),0.3,-89.0,6.92,1156904,8432,458126.0,2672.0,0.38,0.32
AK-47 | Uncharted (Factory New),1.1,-86.0,9.27,750384,4662,928289.0,5249.0,1.21,1.13
AK-47 | Uncharted (Field-Tested),0.3,-93.0,6.16,5169126,31484,2066007.0,9438.0,0.37,0.3
AK-47 | Uncharted (Minimal Wear),0.5,-89.0,-1.28,2569478,17077,1531759.0,9012.0,0.58,0.53
AK-47 | Uncharted (Well-Worn),0.6,-86.0,-10.0,366409,3234,254729.0,2224.0,0.7,0.69
AK-47 | Vulcan (Battle-Scarred),124.2,68.0,5.48,210451,66,2807788.0,7686.0,28.49,115.55
AK-47 | Vulcan (Factory New),814.5,247.0,13.71,49741,8,4110408.0,6132.0,209.25,766.49
AK-47 | Vulcan (Field-Tested),234.6,96.0,4.72,506872,142,14349148.0,33078.0,76.92,232.76
AK-47 | Vulcan (Minimal Wear),547.3,292.0,25.88,213362,60,9878327.0,27430.0,140.87,457.19
AK-47 | Vulcan (Well-Worn),141.3,45.0,13.74,144762,52,3330423.0,6973.0,45.74,134.22
AK-47 | Wasteland Rebel (Battle-Scarred),24.4,12.0,8.69,67775,152,948165.0,3701.0,16.3,24.36
AK-47 | Wasteland Rebel (Factory New),176.1,-20.0,7.47,3441,8,275550.0,1471.0,92.6,183.89
AK-47 | Wasteland Rebel (Field-Tested),25.4,-16.0,8.33,449105,779,6853636.0,19982.0,18.5,25.97
AK-47 | Wasteland Rebel (Minimal Wear),51.2,-7.0,4.15,141337,175,3124025.0,8930.0,27.32,50.97
AK-47 | Wasteland Rebel (Well-Worn),40.0,10.0,44.31,21376,56,382779.0,1810.0,20.63,32.23
AK-47 | Wild Lotus (Battle-Scarred),1236.4,1969.0,0.0,294,1,147489.0,1236.0,580.18,1236.42
AK-47 | Wild Lotus (Factory New),1102.5,36.0,0.0,13,1,12890.0,1102.0,1023.65,1102.49
AK-47 | Wild Lotus (Field-Tested),1185.2,450.0,0.0,285,1,211229.0,1185.0,839.18,1185.2
AK-47 | Wild Lotus (Minimal Wear),1431.6,390.0,0.0,151,1,133472.0,1432.0,994.93,1431.6
AK-47 | Wild Lotus (Well-Worn),1386.9,1167.0,30.37,192,4,106345.0,5017.0,621.4,1254.28
AK-47 | X-Ray (Battle-Scarred),241.7,57.0,0.9,766,8,207913.0,2025.0,270.46,251.65
AK-47 | X-Ray (Factory New),1492.2,1.0,-0.65,36,3,48589.0,4497.0,1354.63,1498.96
AK-47 | X-Ray (Field-Tested),611.7,14.0,-32.35,430,2,348281.0,1516.0,795.02,757.92
AK-47 | X-Ray (Minimal Wear),882.4,-5.0,-11.82,173,2,199169.0,1883.0,1141.35,941.54
AK-47 | X-Ray (Well-Worn),366.2,39.0,14.07,664,10,303542.0,3686.0,454.1,368.59
AUG | Akihabara Accept (Battle-Scarred),229.3,728.0,0.0,3095,1,188623.0,229.0,79.37,229.27
AUG | Akihabara Accept (Factory New),1332.0,511.0,0.0,81,1,43245.0,1332.0,534.43,1332.03
AUG | Akihabara Accept (Field-Tested),519.6,621.0,-0.3,4016,4,501308.0,2049.0,182.4,512.24
AUG | Akihabara Accept (Minimal Wear),1283.3,1332.0,0.0,1631,1,399562.0,1283.0,298.37,1283.26
AUG | Aristocrat (Factory New),1.8,-70.0,-19.98,155392,525,215168.0,1067.0,1.47,2.04
