date,price_pounds,volume
2017-07-16,2.15,905
2017-07-17,2.147,858
2017-07-18,2.145,929
2017-07-19,2.149,847
2017-07-20,2.151,765
2017-07-21,2.158,1163
2017-07-22,2.165,940
2017-07-23,2.099,1306
2017-07-24,2.123,787
2017-07-25,2.127,1071
2017-07-26,2.211,842
2017-07-27,2.221,840
2017-07-28,2.205,805
2017-07-29,2.217,974
2017-07-30,2.207,990
2017-07-31,2.212,1136
2017-08-01,2.196,893
2017-08-02,2.211,966
2017-08-03,2.207,1065
2017-08-04,2.199,1220
2017-08-05,2.215,973
2017-08-06,2.217,941
2017-08-07,2.209,1154
2017-08-08,2.199,1017
2017-08-09,2.202,1159
2017-08-10,2.188,896
2017-08-11,2.177,923
2017-08-12,2.175,865
2017-08-13,2.159,1045
2017-08-14,2.169,1067
2017-08-15,2.177,1137
2017-08-16,2.172,754
2017-08-17,2.168,1133
2017-08-18,2.167,1062
2017-08-19,2.169,1276
2017-08-20,2.15,1113
2017-08-21,2.134,1256
2017-08-22,2.145,1067
2017-08-23,2.139,976
2017-08-24,2.128,895
2017-08-25,2.173,1266
2017-08-26,2.162,1369
2017-08-27,2.155,1121
2017-08-28,2.161,1139
2017-08-29,2.181,941
2017-08-30,2.186,744
2017-08-31,2.177,671
2017-09-01,2.191,1308
2017-09-02,2.193,1065
2017-09-03,2.186,1199
2017-09-04,2.188,1017
2017-09-05,2.187,869
2017-09-06,2.183,1120
2017-09-07,2.187,761
2017-09-08,2.188,1034
2017-09-09,2.187,843
2017-09-10,2.174,1013
2017-09-11,2.181,778
2017-09-12,2.175,874
2017-09-13,2.184,907
2017-09-14,2.181,937
2017-09-15,2.179,1163
2017-09-16,2.183,1178
2017-09-17,2.17,1452
2017-09-18,2.158,804
2017-09-19,2.154,677
2017-09-20,2.156,861
2017-09-21,2.181,1247
2017-09-22,2.146,989
2017-09-23,2.187,837
2017-09-24,2.182,850
2017-09-25,2.186,601
2017-09-26,2.146,686
2017-09-27,2.153,741
2017-09-28,2.131,686
2017-09-29,2.056,1174
2017-09-30,2.107,1087
2017-10-01,2.149,885
2017-10-02,2.101,803
2017-10-03,2.118,729
2017-10-04,2.109,862
2017-10-05,2.128,837
2017-10-06,2.124,854
2017-10-07,2.119,879
2017-10-08,2.106,816
2017-10-09,2.097,821
2017-10-10,2.079,925
2017-10-11,2.122,1080
2017-10-12,2.107,728
2017-10-13,2.089,1247
2017-10-14,2.11,1118
2017-10-15,2.121,1255
2017-10-16,2.118,1202
2017-10-17,2.115,608
2017-10-18,2.108,738
2017-10-19,2.093,814
2017-10-20,2.101,539
2017-10-21,2.1,835
2017-10-22,2.099,814
2017-10-23,2.095,637
2017-10-24,2.082,623
2017-10-25,2.072,709
2017-10-26,2.058,695
2017-10-27,2.016,847
2017-10-28,2.027,1073
2017-10-29,2.017,1022
2017-10-30,2.021,894
2017-10-31,2.035,895
2017-11-01,2.03,771
2017-11-02,2.11,875
2017-11-03,2.114,881
2017-11-04,2.157,824
2017-11-05,2.126,559
2017-11-06,2.125,578
2017-11-07,2.121,719
2017-11-08,2.124,557
2017-11-09,2.119,691
2017-11-10,2.12,660
2017-11-11,2.109,738
2017-11-12,2.15,1009
2017-11-13,2.13,583
2017-11-14,2.123,615
2017-11-15,2.105,509
2017-11-16,2.095,1889
2017-11-17,2.096,619
2017-11-18,2.167,769
2017-11-19,2.13,677
2017-11-20,2.127,741
2017-11-21,2.113,1007
2017-11-22,2.086,682
2017-11-23,2.049,684
2017-11-24,2.014,792
2017-11-25,2.047,628
2017-11-26,2.137,1403
2017-11-27,2.079,639
2017-11-28,2.091,775
2017-11-29,2.168,718
2017-11-30,2.142,645
2017-12-01,2.16,1779
2017-12-02,2.142,698
2017-12-03,2.134,820
2017-12-04,2.132,505
2017-12-05,2.138,813
2017-12-06,2.136,644
2017-12-07,2.147,890
2017-12-08,2.12,953
2017-12-09,2.132,686
2017-12-10,2.12,878
2017-12-11,2.111,506
2017-12-12,2.097,1092
2017-12-13,2.103,796
2017-12-14,2.125,940
2017-12-15,2.089,594
2017-12-16,2.112,587
2017-12-17,2.105,521
2017-12-18,2.114,659
2017-12-19,2.092,600
2017-12-20,2.086,574
2017-12-21,2.085,509
2017-12-22,2.082,853
2017-12-23,2.071,740
2017-12-24,2.088,780
2017-12-25,2.113,1189
2017-12-26,2.118,1417
2017-12-27,2.12,1034
2017-12-28,2.125,850
2017-12-29,2.123,749
2017-12-30,2.118,953
2017-12-31,2.12,879
2018-01-01,2.112,977
2018-01-02,2.117,856
2018-01-03,2.137,897
2018-01-04,2.162,808
2018-01-05,2.165,829
2018-01-06,2.145,1009
2018-01-07,2.139,671
2018-01-08,2.137,891
2018-01-09,2.124,813
2018-01-10,2.109,893
2018-01-11,2.121,904
2018-01-12,2.117,818
2018-01-13,2.131,1074
2018-01-14,2.126,1061
2018-01-15,2.12,1032
2018-01-16,2.123,1018
2018-01-17,2.109,839
2018-01-18,2.108,876
2018-01-19,2.102,1168
2018-01-20,2.1,1256
2018-01-21,2.096,1336
2018-01-22,2.094,1154
2018-01-23,2.088,1088
2018-01-24,2.07,1407
2018-01-25,2.063,1060
2018-01-26,2.081,1300
2018-01-27,2.105,948
2018-01-28,2.091,1040
2018-01-29,2.091,1181
2018-01-30,2.067,1094
2018-01-31,2.064,1409
2018-02-01,2.054,1684
2018-02-02,2.042,1919
2018-02-03,2.05,1495
2018-02-04,2.048,1579
2018-02-05,2.045,1659
2018-02-06,2.044,1917
2018-02-07,2.036,1868
2018-02-08,2.029,1743
2018-02-09,2.012,2175
2018-02-10,1.971,2420
2018-02-11,1.982,2186
2018-02-12,1.97,2287
2018-02-13,1.991,2043
2018-02-14,2.002,2229
2018-02-15,1.995,2525
2018-02-16,1.999,2566
2018-02-17,2.032,2363
2018-02-18,2.032,2233
2018-02-19,2.023,2326
2018-02-20,2.019,2780
2018-02-21,1.993,2555
2018-02-22,2.004,2228
2018-02-23,2.006,3091
2018-02-24,2.005,2554
2018-02-25,2.001,2989
2018-02-26,2.002,2230
2018-02-27,2.0,2199
2018-02-28,1.974,2507
2018-03-01,1.983,3250
2018-03-02,1.972,2577
2018-03-03,1.974,2899
2018-03-04,1.969,2389
2018-03-05,1.97,2185
2018-03-06,1.953,2295
2018-03-07,1.966,2307
2018-03-08,1.954,3204
2018-03-09,1.945,3053
2018-03-10,1.963,3430
2018-03-11,1.96,3056
2018-03-12,1.96,2389
2018-03-13,1.962,2349
2018-03-14,1.966,2369
2018-03-15,1.967,2118
2018-03-16,1.955,2849
2018-03-17,1.955,2772
2018-03-18,1.953,2859
2018-03-19,1.952,2145
2018-03-20,1.957,1902
2018-03-21,1.959,2189
2018-03-22,1.954,1987
2018-03-23,1.959,2258
2018-03-24,1.961,2360
2018-03-25,1.96,1952
2018-03-26,1.955,2013
2018-03-27,1.968,1878
2018-03-28,1.962,1912
2018-03-29,2.145,980
2018-03-30,2.142,730
2018-03-31,2.158,817
2018-04-01,2.167,695
2018-04-02,2.162,587
2018-04-03,2.16,486
2018-04-04,2.177,655
2018-04-05,2.174,589
2018-04-06,2.169,646
2018-04-07,2.166,681
2018-04-08,2.184,619
2018-04-09,2.176,564
2018-04-10,2.151,455
2018-04-11,2.102,769
2018-04-12,2.098,602
2018-04-13,2.138,642
2018-04-14,2.164,711
2018-04-15,2.164,738
2018-04-16,2.163,586
2018-04-17,2.145,428
2018-04-18,2.152,340
2018-04-19,2.167,401
2018-04-20,2.175,436
2018-04-21,2.186,610
2018-04-22,2.178,417
2018-04-23,2.161,370
2018-04-24,2.154,364
2018-04-25,2.157,684
2018-04-26,2.14,451
2018-04-27,2.126,489
2018-04-28,2.127,615
2018-04-29,2.135,661
2018-04-30,2.137,655
2018-05-01,2.131,389
2018-05-02,2.108,491
2018-05-03,2.099,419
2018-05-04,2.101,419
2018-05-05,2.093,541
2018-05-06,2.099,535
2018-05-07,2.104,786
2018-05-08,2.064,477
2018-05-09,2.104,581
2018-05-10,2.132,429
2018-05-11,2.129,427
2018-05-12,2.152,727
2018-05-13,2.148,454
2018-05-14,2.134,565
2018-05-15,2.028,487
2018-05-16,2.009,691
2018-05-17,2.076,539
2018-05-18,2.051,582
2018-05-19,2.03,606
2018-05-20,2.021,505
2018-05-21,2.042,500
2018-05-22,2.046,571
2018-05-23,2.02,497
2018-05-24,1.98,440
2018-05-25,2.003,608
2018-05-26,2.004,560
2018-05-27,2.01,487
2018-05-28,2.005,454
2018-05-29,2.003,401
2018-05-30,2.01,542
2018-05-31,2.001,601
2018-06-01,2.006,605
2018-06-02,1.997,580
2018-06-03,2.019,673
2018-06-04,2.015,477
2018-06-05,2.016,452
2018-06-06,2.001,454
2018-06-07,2.001,403
2018-06-08,2.024,698
2018-06-09,1.992,609
2018-06-10,2.003,455
2018-06-11,1.965,544
2018-06-12,1.954,621
2018-06-13,1.926,779
2018-06-14,2.001,656
2018-06-15,2.096,407
2018-06-16,2.067,359
2018-06-17,2.054,467
2018-06-18,2.075,493
2018-06-19,2.032,427
2018-06-20,2.054,578
2018-06-21,2.034,401
2018-06-22,2.024,388
2018-06-23,2.03,525
2018-06-24,2.05,419
2018-06-25,2.046,273
2018-06-26,2.031,408
2018-06-27,2.026,470
2018-06-28,2.032,452
2018-06-29,2.027,394
2018-06-30,2.018,476
2018-07-01,2.012,475
2018-07-02,1.996,460
2018-07-03,1.989,431
2018-07-04,2.01,442
2018-07-05,2.022,525
2018-07-06,2.037,743
2018-07-07,2.04,538
2018-07-08,2.027,634
2018-07-09,2.02,464
2018-07-10,2.051,502
2018-07-11,2.048,401
2018-07-12,2.063,492
2018-07-13,2.048,789
2018-07-14,2.048,561
2018-07-15,2.038,491
2018-07-16,2.041,469
2018-07-17,2.049,613
2018-07-18,2.037,467
2018-07-19,2.043,429
2018-07-20,2.042,474
2018-07-21,2.079,750
2018-07-22,2.082,539
2018-07-23,2.071,494
2018-07-24,2.069,587
2018-07-25,2.061,433
2018-07-26,2.081,525
2018-07-27,2.073,496
2018-07-28,2.082,710
2018-07-29,2.082,392
2018-07-30,2.077,472
2018-07-31,2.083,752
2018-08-01,2.086,628
2018-08-02,2.079,659
2018-08-03,2.041,707
2018-08-04,2.035,639
2018-08-05,2.034,579
2018-08-06,2.032,558
2018-08-07,1.992,529
2018-08-08,1.961,805
2018-08-09,1.952,679
2018-08-10,1.87,2310
2018-08-11,1.969,1211
2018-08-12,1.954,560
2018-08-13,1.952,652
2018-08-14,1.926,785
2018-08-15,2.06,619
2018-08-16,2.17,557
2018-08-17,2.159,519
2018-08-18,2.164,509
2018-08-19,2.131,520
2018-08-20,2.138,476
2018-08-21,2.148,516
2018-08-22,2.147,569
2018-08-23,2.159,537
2018-08-24,2.139,449
2018-08-25,2.138,642
2018-08-26,2.135,618
2018-08-27,2.163,777
2018-08-28,2.157,507
2018-08-29,2.135,448
2018-08-30,2.099,842
2018-08-31,2.079,573
2018-09-01,2.101,740
2018-09-02,2.11,539
2018-09-03,2.098,558
2018-09-04,2.106,677
2018-09-05,2.073,557
2018-09-06,2.057,679
2018-09-07,2.063,655
2018-09-08,2.061,1098
2018-09-09,2.089,1060
2018-09-10,2.048,877
2018-09-11,2.038,1531
2018-09-12,2.03,713
2018-09-13,2.033,843
2018-09-14,2.071,1166
2018-09-15,2.074,1133
2018-09-16,2.059,1039
2018-09-17,2.073,1133
2018-09-18,2.053,2056
2018-09-19,2.055,1729
2018-09-20,2.045,1199
2018-09-21,2.069,1050
2018-09-22,2.097,945
2018-09-23,2.155,640
2018-09-24,2.142,462
2018-09-25,2.133,408
2018-09-26,2.097,721
2018-09-27,2.102,624
2018-09-28,2.105,463
2018-09-29,2.108,845
2018-09-30,2.111,650
2018-10-01,2.112,630
2018-10-02,2.12,832
2018-10-03,2.116,485
2018-10-04,2.111,629
2018-10-05,2.084,668
2018-10-06,2.131,1023
2018-10-07,2.098,766
2018-10-08,2.074,543
2018-10-09,2.07,975
2018-10-10,2.056,757
2018-10-11,2.063,961
2018-10-12,2.095,846
2018-10-13,2.074,860
2018-10-14,2.082,737
2018-10-15,2.056,829
2018-10-16,2.049,601
2018-10-17,2.072,662
2018-10-18,2.073,689
2018-10-19,2.064,867
2018-10-20,2.061,741
2018-10-21,2.06,1204
2018-10-22,2.059,472
2018-10-23,2.045,810
2018-10-24,2.026,823
2018-10-25,2.025,625
2018-10-26,2.02,667
2018-10-27,2.022,936
2018-10-28,2.017,518
2018-10-29,2.015,1032
2018-10-30,2.014,748
2018-10-31,2.002,588
2018-11-01,1.992,857
2018-11-02,2.031,1425
2018-11-03,2.031,1388
2018-11-04,2.036,947
2018-11-05,2.025,831
2018-11-06,2.041,572
2018-11-07,2.04,418
2018-11-08,2.045,823
2018-11-09,2.056,678
2018-11-10,2.057,644
2018-11-11,2.044,765
2018-11-12,2.04,697
2018-11-13,2.038,818
2018-11-14,2.014,798
2018-11-15,2.025,845
2018-11-16,2.049,785
2018-11-17,2.102,836
2018-11-18,2.063,515
2018-11-19,2.034,746
2018-11-20,2.037,670
2018-11-21,2.033,490
2018-11-22,2.017,510
2018-11-23,2.018,1095
2018-11-24,2.04,789
2018-11-25,2.044,817
2018-11-26,2.008,812
2018-11-27,1.993,716
2018-11-28,2.007,647
2018-11-29,1.981,659
2018-11-30,2.023,855
2018-12-01,2.072,860
2018-12-02,2.037,698
2018-12-03,1.994,924
2018-12-04,2.023,829
2018-12-05,2.037,1480
2018-12-06,2.047,1324
2018-12-07,2.129,606
2018-12-08,2.202,513
2018-12-09,2.151,600
2018-12-10,2.136,818
2018-12-11,2.109,467
2018-12-12,2.121,548
2018-12-13,2.133,573
2018-12-14,2.109,496
2018-12-15,2.109,596
2018-12-16,2.095,572
2018-12-17,2.092,520
2018-12-18,2.099,640
2018-12-19,2.093,522
2018-12-20,2.093,461
2018-12-21,2.085,855
2018-12-22,2.075,718
2018-12-23,2.09,662
2018-12-24,2.119,872
2018-12-25,2.065,655
2018-12-26,2.094,679
2018-12-27,2.085,600
2018-12-28,2.073,902
2018-12-29,2.072,943
2018-12-30,2.17,1614
2018-12-31,2.131,851
2019-01-01,2.118,763
2019-01-02,2.074,937
2019-01-03,2.06,746
2019-01-04,2.059,1097
2019-01-05,2.059,1146
2019-01-06,2.074,637
2019-01-07,2.06,811
2019-01-08,2.07,835
2019-01-09,2.088,757
2019-01-10,2.095,823
2019-01-11,2.104,754
2019-01-12,2.118,843
2019-01-13,2.108,783
2019-01-14,2.103,659
2019-01-15,2.103,524
2019-01-16,2.104,639
2019-01-17,2.096,630
2019-01-18,2.089,684
2019-01-19,2.113,806
2019-01-20,2.106,797
2019-01-21,2.1,728
2019-01-22,2.1,554
2019-01-23,2.084,884
2019-01-24,2.084,517
2019-01-25,2.08,628
2019-01-26,2.09,678
2019-01-27,2.09,963
2019-01-28,2.085,678
2019-01-29,2.094,765
2019-01-30,2.093,603
2019-01-31,2.1,855
2019-02-01,2.12,570
2019-02-02,2.107,698
