date,price_usd,volume
2024-05-21,0.604,6572
2024-05-21,0.616,5542
2024-05-21,0.615,5345
2024-05-21,0.623,6027
2024-05-21,0.631,6243
2024-05-21,0.622,6757
2024-05-21,0.572,8289
2024-05-21,0.626,5427
2024-05-21,0.635,4486
2024-05-21,0.635,4323
2024-05-22,0.64,4283
2024-05-22,0.626,4378
2024-05-22,0.616,6191
2024-05-22,0.632,5644
2024-05-22,0.632,5231
2024-05-22,0.622,4329
2024-05-22,0.616,3703
2024-05-22,0.618,4157
2024-05-22,0.592,4218
2024-05-22,0.564,6699
2024-05-22,0.553,5826
2024-05-22,0.542,5379
2024-05-22,0.536,6090
2024-05-22,0.538,5971
2024-05-22,0.532,5717
2024-05-22,0.529,5834
2024-05-22,0.532,6970
2024-05-22,0.53,7119
2024-05-22,0.541,8743
2024-05-22,0.539,7379
2024-05-22,0.536,6923
2024-05-22,0.542,7892
2024-05-22,0.553,7347
2024-05-22,0.561,6012
2024-05-23,0.569,4855
2024-05-23,0.572,5379
2024-05-23,0.569,5024
2024-05-23,0.585,6516
2024-05-23,0.585,4805
2024-05-23,0.592,4424
2024-05-23,0.59,3646
2024-05-23,0.569,3279
2024-05-23,0.562,4611
2024-05-23,0.54,4428
2024-05-23,0.544,4439
2024-05-23,0.54,4681
2024-05-23,0.539,5342
2024-05-23,0.531,4892
2024-05-23,0.535,5333
2024-05-23,0.532,6130
2024-05-23,0.535,6468
2024-05-23,0.54,5909
2024-05-23,0.542,7119
2024-05-23,0.557,7532
2024-05-23,0.56,6496
2024-05-23,0.565,6658
2024-05-23,0.83,74526
2024-05-23,1.299,101861
2024-05-24,0.981,27303
2024-05-24,0.863,16900
2024-05-24,1.0,17739
2024-05-24,1.027,9373
2024-05-24,1.019,8239
2024-05-24,0.979,8104
2024-05-24,0.869,9986
2024-05-24,0.957,8133
2024-05-24,0.813,8917
2024-05-24,0.816,11041
2024-05-24,0.923,8910
2024-05-24,0.936,9221
2024-05-24,0.946,9137
2024-05-24,0.979,8722
2024-05-24,0.991,9240
2024-05-24,0.991,8302
2024-05-24,0.991,7942
2024-05-24,1.0,8457
2024-05-24,1.026,7368
2024-05-24,1.031,7398
2024-05-24,1.051,7192
2024-05-24,1.079,6792
2024-05-24,1.09,6760
2024-05-24,1.096,4918
2024-05-25,1.077,4270
2024-05-25,1.037,3662
2024-05-25,1.033,4166
2024-05-25,1.027,4599
2024-05-25,1.038,3824
2024-05-25,1.043,3820
2024-05-25,1.031,3284
2024-05-25,1.019,3240
2024-05-25,0.98,3293
2024-05-25,0.964,3783
2024-05-25,0.916,3931
2024-05-25,0.898,4231
2024-05-25,0.882,4217
2024-05-25,0.873,4513
2024-05-25,0.874,4894
2024-05-25,0.873,4383
2024-05-25,0.869,4830
2024-05-25,0.869,5416
2024-05-25,0.877,5143
2024-05-25,0.899,5718
2024-05-25,0.908,5307
2024-05-25,0.928,4985
2024-05-25,0.924,4129
2024-05-25,0.884,4162
2024-05-26,0.885,3711
2024-05-26,0.877,3458
2024-05-26,0.885,3070
2024-05-26,0.877,3278
2024-05-26,0.869,3217
2024-05-26,0.853,3500
2024-05-26,0.856,3529
2024-05-26,0.853,3566
2024-05-26,0.819,3509
2024-05-26,0.774,5135
2024-05-26,0.764,4712
2024-05-26,0.758,4097
2024-05-26,0.745,4929
2024-05-26,0.748,3990
2024-05-26,0.742,4981
2024-05-26,0.736,4404
2024-05-26,0.727,4735
2024-05-26,0.729,5040
2024-05-26,0.738,5705
2024-05-26,0.745,5860
2024-05-26,0.753,5297
2024-05-26,0.754,4995
2024-05-26,0.754,4287
2024-05-26,0.755,3798
2024-05-27,0.754,3392
2024-05-27,0.743,2862
2024-05-27,0.742,3759
2024-05-27,0.735,3351
2024-05-27,0.711,3624
2024-05-27,0.714,3863
2024-05-27,0.726,4774
2024-05-27,0.719,3499
2024-05-27,0.703,3542
2024-05-27,0.673,3951
2024-05-27,0.671,3641
2024-05-27,0.668,2804
2024-05-27,0.651,2734
2024-05-27,0.651,3482
2024-05-27,0.653,3708
2024-05-27,0.655,4327
2024-05-27,0.671,6251
2024-05-27,0.685,5834
2024-05-27,0.702,6623
2024-05-27,0.719,5896
2024-05-27,0.719,5425
2024-05-27,0.73,5488
2024-05-27,0.737,4221
2024-05-27,0.742,4080
2024-05-28,0.733,3198
2024-05-28,0.727,2996
2024-05-28,0.735,3160
2024-05-28,0.727,3421
2024-05-28,0.708,3063
2024-05-28,0.698,3185
2024-05-28,0.7,2930
2024-05-28,0.695,3315
2024-05-28,0.659,2774
2024-05-28,0.635,2376
2024-05-28,0.63,2771
2024-05-28,0.631,3153
2024-05-28,0.643,4201
2024-05-28,0.634,3323
2024-05-28,0.635,3943
2024-05-28,0.648,4571
2024-05-28,0.659,4527
2024-05-28,0.663,4376
2024-05-28,0.668,5430
2024-05-28,0.668,4272
2024-05-28,0.668,5214
2024-05-28,0.669,5165
2024-05-28,0.669,4064
2024-05-28,0.679,4078
2024-05-29,0.679,3181
2024-05-29,0.671,3356
2024-05-29,0.656,3952
2024-05-29,0.656,4570
2024-05-29,0.656,4983
2024-05-29,0.648,4075
2024-05-29,0.64,4034
2024-05-29,0.632,3307
2024-05-29,0.608,3375
2024-05-29,0.6,3326
2024-05-29,0.593,4068
2024-05-29,0.582,4655
2024-05-29,0.585,3698
2024-05-29,0.589,4204
2024-05-29,0.585,5199
2024-05-29,0.592,6382
2024-05-29,0.603,7183
2024-05-29,0.606,6599
2024-05-29,0.609,7160
2024-05-29,0.609,6709
2024-05-29,0.618,7818
2024-05-29,0.648,11836
2024-05-29,0.667,219
2024-05-29,0.585,8
2024-05-30,0.742,26585
2024-05-30,0.845,7212
2024-05-30,0.861,4946
2024-05-30,0.845,4619
2024-05-30,0.853,3376
2024-05-30,0.853,3229
2024-05-30,0.837,3232
2024-05-30,0.829,2942
