frac_price,frac_volume,disc_frac_price,disc_frac_volume,disc_combined
-0.00028835063437138153,-0.4049803407601573,19,1,69
0.038650129795211985,-0.3061674008810573,23,2,123
0.004998611496806582,0.0031746031746031633,20,4,220
0.00911854103343468,-0.12341772151898733,20,3,170
0.03066812705366906,-0.3212996389891697,22,1,72
-0.04144527098831019,0.2872340425531914,16,6,316
-0.22117516629711753,0.9421487603305785,0,11,550
0.04483985765124543,-0.2872340425531915,23,2,123
0.03950953678474112,-0.12537313432835817,23,3,173
0.10681520314547832,-0.027303754266211566,29,4,229
0.13173475429248072,-0.14385964912280702,31,3,181
-0.019618100967826235,-0.26639344262295084,18,2,118
0.09098185699039485,0.4804469273743017,27,7,377
-0.18928833455612626,0.7660377358490567,3,9,453
-0.002714932126696823,-0.2948717948717948,19,2,119
0.02631578947368407,-0.20606060606060606,22,2,122
0.10079575596816981,0.16412213740458026,28,5,278
0.03319946452476574,-0.08524590163934431,22,3,172
-0.061414874319771995,-0.30824372759856633,14,2,114
0.00662617338487026,0.44041450777202074,20,7,370
-0.10504662643993423,0.41366906474820153,10,7,360
-0.1569108182654,-0.10432569974554706,6,3,156
-0.07233733187931657,-0.24431818181818177,13,2,113
0.06700626959247646,0.07518796992481214,25,4,225
0.04957767168564087,-0.10839160839160844,24,3,174
-0.03638908327501755,-0.3803921568627451,16,1,66
-0.030501089324618813,0.4493670886075949,17,7,367
-0.1333333333333333,0.6200873362445414,8,8,408
-0.09118409680207429,-0.2695417789757413,11,2,111
-0.07370423204945331,0.49446494464944646,13,7,363
-0.014887063655030786,-0.33333333333333337,18,1,68
0.030745179781136,-0.1962962962962963,22,2,122
0.013144590495449915,0.03686635944700467,20,4,220
-0.01696606786427146,0.14666666666666672,18,5,268
-0.020304568527918843,0.6124031007751938,18,8,418
-0.006735751295336767,-0.28365384615384615,19,2,119
-0.023474178403755874,-0.13758389261744963,17,3,167
0.0347222222222221,0.11284046692607008,22,5,272
0.18224057821373263,-0.09440559440559437,35,3,185
0.017903930131004442,-0.17374517374517373,21,3,171
0.01158301158301156,0.07943925233644866,20,4,220
-0.1276505513146735,0.7965367965367964,8,10,508
-0.029168692270296503,-0.272289156626506,17,2,117
0.022033049574361474,-0.04304635761589404,21,3,171
0.013228809407153319,-0.08996539792387548,20,3,170
-0.012572533849129708,-0.155893536121673,18,3,168
-0.04750244857982355,-0.06306306306306309,15,3,165
-0.024678663239074528,0.06730769230769229,17,4,217
-0.1512915129151291,1.2882882882882885,6,13,656
-0.007453416149068359,-0.3228346456692913,19,1,69
-0.0250312891113893,-0.1191860465116279,17,3,167
0.03722721437740706,-0.1188118811881188,23,3,173
0.02165841584158401,0.029962546816479474,21,4,221
-0.0024227740763174133,-0.15636363636363637,19,3,169
0.015786278081360017,-0.004310344827586188,21,4,221
-0.020322773460848764,0.5281385281385282,18,8,418
-0.020134228187919434,-0.12181303116147313,18,3,168
-0.01681195516811962,0.0,18,4,218
0.0506649778340722,-0.07741935483870965,24,3,174
-0.001808318264014508,-0.06643356643356646,19,3,169
0.018115942028985588,-0.1573033707865169,21,3,171
-0.053380782918149405,-0.09777777777777774,15,3,165
-0.06077694235588971,0.6896551724137931,14,9,464
-0.022681787858572444,-0.06413994169096215,17,3,167
-0.03890784982935169,-0.02180685358255452,16,4,216
0.01846590909090917,-0.09554140127388533,21,3,171
-0.014644351464435101,-0.08098591549295775,18,3,168
0.02406227883934897,-0.16475095785440608,21,3,171
-0.035245335176226744,0.35779816513761475,16,6,316
-0.07163323782234943,0.375,13,7,363
0.03858024691358031,-0.3415233415233415,23,1,73
0.04531946508172369,-0.052238805970149294,23,3,173
0.051883439943141374,0.26771653543307083,24,6,324
0.014864864864864824,-0.021739130434782594,21,4,221
0.003994673768308976,-0.2952380952380952,20,2,120
0.037135278514588865,0.03153153153153143,23,4,223
-0.05690537084398972,0.48034934497816595,14,7,364
-0.007457627118644172,-0.14454277286135697,19,3,169
0.03210382513661192,-0.06896551724137934,22,3,172
0.011912640635340921,0.16296296296296298,20,5,270
-0.06409417920209282,-0.19426751592356684,14,2,114
0.020265548567435232,-0.07114624505928857,21,3,171
-0.006849315068493178,-0.21702127659574466,19,2,119
-0.07655172413793099,0.4347826086956521,13,7,363
-0.005974607916355512,-0.09848484848484851,19,3,169
-0.006761833208114076,-0.025210084033613467,19,4,219
0.00302571860816947,0.13793103448275867,20,5,270
-0.006787330316742168,0.05681818181818188,19,4,219
-0.026575550493545874,-0.25806451612903225,17,2,117
0.018720748829953227,0.10144927536231885,21,5,271
-0.07503828483920372,0.3377192982456141,13,6,313
-0.04304635761589404,0.1081967213114754,16,5,266
0.019896193771626436,-0.2899408284023669,21,2,121
0.010178117048346147,0.10833333333333339,20,5,270
-0.007556675062972418,0.15037593984962405,19,5,269
0.060913705583756306,-0.2222222222222222,25,2,125
-0.02392344497607657,0.0714285714285714,17,4,217
-0.03676470588235292,0.3803921568627451,16,7,366
0.006785411365564098,-0.06818181818181823,20,3,170
0.021903959561920816,-0.05182926829268297,21,3,171
0.08326463314097277,-0.02893890675241162,27,4,227
-0.0053272450532725335,0.07947019867549665,19,4,219
-0.007651109410864554,-0.13190184049079756,19,3,169
0.009252120277563725,0.15547703180212014,20,5,270
0.038961038961039085,0.6422018348623852,23,8,423
0.033823529411764586,-0.3016759776536313,22,2,122
0.0369843527738265,-0.12,23,3,173
-0.008916323731138487,0.05454545454545445,19,4,219
-0.02837370242214543,-0.10919540229885061,17,3,167
-0.054843304843304796,-0.2935483870967742,15,2,115
