frac_price,frac_volume,disc_frac_price,disc_frac_volume,disc_combined
-0.0002897710808460463,-0.4049803407601573,20,1,70
0.038550724637681055,-0.3061674008810573,23,2,123
0.005023723137036029,0.0031746031746031633,20,4,220
0.009164121077478438,-0.12341772151898733,21,3,171
0.030820033021464077,-0.3212996389891697,23,1,73
-0.04164442071542984,0.2872340425531914,16,6,316
-0.22116991643454043,0.9421487603305785,1,11,551
0.04470672389127328,-0.2872340425531915,24,2,124
0.03937007874015763,-0.12537313432835817,23,3,173
0.10704874835309619,-0.027303754266211566,29,4,229
0.13180601011603676,-0.14385964912280702,31,3,181
-0.019453207150368024,-0.26639344262295084,18,2,118
0.09088471849865942,0.4804469273743017,28,7,378
-0.1894814450724993,0.7660377358490567,4,9,454
-0.0024257125530624535,-0.2948717948717948,20,2,120
0.026139817629179385,-0.20606060606060606,22,2,122
0.1010071090047393,0.16412213740458026,29,5,279
0.03309120258272791,-0.08524590163934431,23,3,173
-0.06145833333333328,-0.30824372759856633,15,2,115
0.006659267480577213,0.44041450777202074,21,7,371
-0.10501653803748623,0.41366906474820153,11,7,361
-0.15706806282722507,-0.10432569974554706,7,3,157
-0.07234198027036898,-0.24431818181818177,14,2,114
0.0669554942890902,0.07518796992481214,26,4,226
0.04983388704318936,-0.10839160839160844,24,3,174
-0.03656821378340358,-0.3803921568627451,17,1,67
-0.030291970802919788,0.4493670886075949,17,7,367
-0.1336093338351524,0.6200873362445414,9,8,409
-0.09122502172024327,-0.2695417789757413,12,2,112
-0.07361376673040154,0.49446494464944646,14,7,364
-0.014447884416924683,-0.33333333333333337,19,1,69
0.030366492146596924,-0.1962962962962963,23,2,123
0.013211382113821113,0.03686635944700467,21,4,221
-0.017051153460381108,0.14666666666666672,19,5,269
-0.020408163265306145,0.6124031007751938,18,8,418
-0.0067708333333332815,-0.28365384615384615,19,2,119
-0.023597273203985303,-0.13758389261744963,18,3,168
0.03490870032223414,0.11284046692607008,23,5,273
0.18214841722885322,-0.09440559440559437,35,3,185
0.01843722563652328,-0.17374517374517373,22,3,172
0.01163793103448274,0.07943925233644866,21,4,221
-0.12782275244993602,0.7965367965367964,9,10,509
-0.029311187103077674,-0.272289156626506,17,2,117
0.021640664318067326,-0.04304635761589404,22,3,172
0.01379310344827589,-0.08996539792387548,21,3,171
-0.012633624878522709,-0.155893536121673,19,3,169
-0.047244094488189003,-0.06306306306306309,16,3,166
-0.024793388429752095,0.06730769230769229,18,4,218
-0.1514830508474575,1.2882882882882885,7,13,657
-0.006866416978776657,-0.3228346456692913,19,1,69
-0.025769956002514083,-0.1191860465116279,18,3,168
0.03741935483870962,-0.1188118811881188,23,3,173
0.0217661691542288,0.029962546816479474,22,4,222
-0.002434570906877709,-0.15636363636363637,20,3,170
0.015253203172666208,-0.004310344827586188,21,4,221
-0.019831730769230727,0.5281385281385282,18,8,418
-0.020232985898221867,-0.12181303116147313,18,3,168
-0.01689612015018782,0.0,19,4,219
0.05092297899427112,-0.07741935483870965,24,3,174
-0.00181708055723806,-0.06643356643356646,20,3,170
0.017597087378640852,-0.1573033707865169,21,3,171
-0.053070960047704174,-0.09777777777777774,15,3,165
-0.06045340050377834,0.6896551724137931,15,9,465
-0.02278820375335122,-0.06413994169096215,18,3,168
-0.039094650205761305,-0.02180685358255452,17,4,217
0.01855817273376159,-0.09554140127388533,22,3,172
-0.014716187806587344,-0.08098591549295775,19,3,169
0.024182076813655806,-0.16475095785440608,22,3,172
-0.03541666666666665,0.35779816513761475,17,6,317
-0.07127429805615548,0.375,14,7,364
0.03875968992248069,-0.3415233415233415,23,1,73
0.04477611940298498,-0.052238805970149294,24,3,174
0.05142857142857138,0.26771653543307083,24,6,324
0.014945652173913082,-0.021739130434782594,21,4,221
0.004685408299865967,-0.2952380952380952,20,2,120
0.036642238507661684,0.03153153153153143,23,4,223
-0.05719794344473006,0.48034934497816595,15,7,365
-0.0068166325835037345,-0.14454277286135697,19,3,169
0.03157172271791331,-0.06896551724137934,23,3,173
0.011976047904191711,0.16296296296296298,21,5,271
-0.06443129520052593,-0.19426751592356684,14,2,114
0.0210822206605763,-0.07114624505928857,22,3,172
-0.006882312456985562,-0.21702127659574466,19,2,119
-0.07692307692307687,0.4347826086956521,13,7,363
-0.006006006006005982,-0.09848484848484851,19,3,169
-0.006797583081571079,-0.025210084033613467,19,4,219
0.0038022813688214363,0.13793103448275867,20,5,270
-0.007575757575757569,0.05681818181818188,19,4,219
-0.025954198473282508,-0.25806451612903225,18,2,118
0.018808777429467183,0.10144927536231885,22,5,272
-0.0753846153846155,0.3377192982456141,14,6,314
-0.043261231281198076,0.1081967213114754,16,5,266
0.02086956521739136,-0.2899408284023669,22,2,122
0.009369676320272635,0.10833333333333339,21,5,271
-0.007594936708860911,0.15037593984962405,19,5,269
0.061224489795918435,-0.2222222222222222,25,2,125
-0.024038461538461564,0.0714285714285714,18,4,218
-0.03694581280788167,0.3803921568627451,17,7,367
0.007672634271099765,-0.06818181818181823,21,3,171
0.02115059221658222,-0.05182926829268297,22,3,172
0.08367854183927093,-0.02893890675241162,27,4,227
-0.005351681957186605,0.07947019867549665,19,4,219
-0.00768639508070712,-0.13190184049079756,19,3,169
0.009295120061967532,0.15547703180212014,21,5,271
0.038372985418265504,0.6422018348623852,23,8,423
0.033998521803399795,-0.3016759776536313,23,2,123
0.037169406719085085,-0.12,23,3,173
-0.008959338387319216,0.05454545454545445,19,4,219
-0.028511821974965157,-0.10919540229885061,18,3,168
-0.05440229062276314,-0.2935483870967742,15,2,115
