item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
Glove Case Key,16.1,720.0,21.7,1640578,171,3586458.0,2412.0,6.54,14.28
Officer Jacques Beltram | Gendarmerie Nationale,6.7,92.0,-7.3,107648,1016,339968.0,7105.0,5.15,7.01
Kilowatt Case,0.6,-95.0,-18.6,14787405,2225142,26037074.0,1376814.0,0.83,0.62
AK-47 | Blue Laminate (Factory New),11.3,-33.0,2.9,1389612,912,3649063.0,11158.0,6.39,13.02
Glove Case,5.8,-7.0,-0.4,79308144,112210,37361643.0,645221.0,2.18,5.73
